Results_Name,VSPAERO_Wrapper
Results_Timestamp,1711417809
Results_Date,3,26,2024
Results_Time,2,50,9
Analysis_Duration_Sec,1.279899999999999949e+01
ResultsVec,VSPAERO_History,VSPAERO_History,VSPAERO_History,VSPAERO_History,VSPAERO_History,VSPAERO_History,VSPAERO_History,VSPAERO_Load,VSPAERO_Comp_Load,VSPAERO_Load,VSPAERO_Comp_Load,VSPAERO_Load,VSPAERO_Comp_Load,VSPAERO_Load,VSPAERO_Comp_Load,VSPAERO_Load,VSPAERO_Comp_Load,VSPAERO_Load,VSPAERO_Comp_Load,VSPAERO_Load,VSPAERO_Comp_Load,VSPAERO_Stab,CpSlice_Wrapper
Results_Name,VSPAERO_History
Results_Timestamp,1711417808
Results_Date,3,26,2024
Results_Time,2,50,8
Alpha,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
AnalysisMethod,0
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,8.444772483000000801e-03,8.101325238999999845e-03,8.185790252000000808e-03,8.340968791999999257e-03,8.479843610999999656e-03
CDo,5.374513122999999976e-03,5.356081054999999730e-03,5.360026292000000074e-03,5.369301360999999793e-03,5.378472746000000082e-03
CDt,9.011642943999999961e-03,8.114813618000000367e-03,7.581074917000000385e-03,7.334599035999999662e-03,7.839180589999999657e-03
CDtot,1.381928560699999947e-02,1.345740629399999957e-02,1.354581654299999958e-02,1.371027015199999949e-02,1.385831635699999974e-02
CDtott,1.438615606699999994e-02,1.347089467300000010e-02,1.294110120899999959e-02,1.270390039699999946e-02,1.321765333599999974e-02
CFx,-3.935875886000000067e-03,-3.939026043999999810e-03,-3.942324054999999869e-03,-3.950965984999999826e-03,-3.948564564000000242e-03
CFxi,-9.323464869000000488e-03,-9.308150899000000589e-03,-9.315361108000000737e-03,-9.333300484000000771e-03,-9.340179997999999151e-03
CFxo,5.387588983000000421e-03,5.369124854999999912e-03,5.373037053000000000e-03,5.382334499000000078e-03,5.391615433999999776e-03
CFy,1.727360900000000140e-05,1.042256000000000012e-06,-4.536990000000000183e-07,1.967250000000000096e-07,-1.951285999999999888e-06
CFyi,1.727525500000000067e-05,1.043046000000000008e-06,-4.530030000000000231e-07,1.971769999999999927e-07,-1.952941999999999860e-06
CFyo,-1.645999999999999899e-09,-7.899999999999999603e-10,-6.959999999999999747e-10,-4.519999999999999901e-10,1.656999999999999965e-09
CFz,2.543932189240000197e-01,2.492505159049999974e-01,2.505650924769999843e-01,2.530462168609999840e-01,2.551342042049999925e-01
CFzi,2.543925303010000083e-01,2.492500124629999925e-01,2.505639787939999974e-01,2.530450992889999862e-01,2.551343329849999897e-01
CFzo,6.886239999999999861e-07,5.034430000000000433e-07,1.113682999999999981e-06,1.117571999999999970e-06,-1.287799999999999925e-07
CL,2.540480826520000179e-01,2.489181267430000122e-01,2.502297311289999882e-01,2.527054144499999988e-01,2.547881480470000071e-01
CLi,2.544232149149999733e-01,2.492921557439999880e-01,2.506034242769999976e-01,2.530797522759999918e-01,2.551643765939999864e-01
CLo,-3.751322630000000053e-04,-3.740290010000000024e-04,-3.736931479999999793e-04,-3.743378259999999833e-04,-3.762285459999999766e-04
CMx,-1.878075209999999912e-04,-1.212649100000000024e-05,1.045915700000000046e-05,-1.579192700000000090e-05,-1.417327800000000013e-05
CMxi,-1.881806440000000059e-04,-1.213531599999999926e-05,1.046456899999999993e-05,-1.579079500000000100e-05,-1.415291000000000033e-05
CMxo,3.731219999999999976e-07,8.824999999999999614e-09,-5.411999999999999923e-09,-1.130999999999999920e-09,-2.036800000000000080e-08
CMy,3.215327033200000156e-02,3.477147628499999837e-02,3.424588197600000189e-02,3.337617205099999845e-02,3.275069390799999897e-02
CMyi,3.215318974700000221e-02,3.477155765099999851e-02,3.424610499599999719e-02,3.337636177799999798e-02,3.275058871000000038e-02
CMyo,8.058600000000000441e-08,-8.136600000000000213e-08,-2.230209999999999957e-07,-1.897259999999999878e-07,1.051980000000000001e-07
CMz,5.235816000000000355e-06,4.206830000000000090e-07,-1.453569999999999959e-07,2.088449999999999884e-07,-3.910529999999999746e-07
CMzi,4.549398000000000382e-06,3.696579999999999872e-07,-1.076589999999999981e-07,1.553820000000000079e-07,-4.505940000000000179e-07
CMzo,6.864179999999999728e-07,5.102500000000000195e-08,-3.769699999999999669e-08,5.346300000000000036e-08,5.954099999999999695e-08
CS,1.727360900000000140e-05,1.042256000000000012e-06,-4.536990000000000183e-07,1.967250000000000096e-07,-1.951285999999999888e-06
CSi,1.727525500000000067e-05,1.043046000000000008e-06,-4.530030000000000231e-07,1.971769999999999927e-07,-1.952941999999999860e-06
CSo,-1.645999999999999899e-09,-7.899999999999999603e-10,-6.959999999999999747e-10,-4.519999999999999901e-10,1.656999999999999965e-09
E,9.583958137770000052e-01,9.591367856529999791e-01,9.592521447430000237e-01,9.601027074939999517e-01,9.600008809560000023e-01
FC_AoA_,4.000000000000000000e+00
FC_Beta_,0.000000000000000000e+00
FC_Bref_,3.287137599999999793e+01
FC_Cref_,1.479343599999999981e+01
FC_Mach_,8.000000000000000444e-01
FC_Pitch_Rate,0.000000000000000000e+00
FC_ReCref_,9.076799217453446984e+07
FC_Rho_,3.639089999999999825e-01
FC_Roll__Rate,0.000000000000000000e+00
FC_Sref_,4.244288920000000189e+02
FC_Vinf_,2.360544150000000059e+02
FC_Xcg_,1.130080000000000062e+01
FC_Yaw___Rate,0.000000000000000000e+00
