WARNING: 1 open meshes merged
     Merged: FAST-OAD-BWB_Tutorial_NACA63A012.vsp3
...Mass Properties...
1 Num Comps
1 Total Num Meshes
2416 Total Num Tris

1.195113946485691e+05             Total Mass
1.240282849440160e+01 -3.432363485809995e-09 -2.339211398251180e-11       Center of Gravity
5.549197162922871e+06 2.131035232494025e+06 7.629888788621481e+06       Ixx, Iyy, Izz
-3.744384153487191e+03 -1.648927363083747e+02 1.493879742432103e+03       Ixy, Ixz, Iyz
4.780455785942763e+02             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
FAST-OAD-BWB_Tutorial_NACA63A012.vsp3	1.195113946485448e+05	1.240282849440400e+01	-3.432360429516916e-09	-2.339212804828754e-11	5.549197162922880e+06	2.131035232494031e+06	7.629888788621531e+06	-3.744384153486943e+03	-1.648927363083809e+02	1.493879742432108e+03	4.780455785943371e+02
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	1.195113946485691e+05	1.240282849440160e+01	-3.432363485809995e-09	-2.339211398251180e-11	5.549197162922871e+06	2.131035232494025e+06	7.629888788621481e+06	-3.744384153487191e+03	-1.648927363083747e+02	1.493879742432103e+03	4.780455785942763e+02

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
20 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
5.493571428571431e-01	1.189191852643667e+02	5.493571428571429e-01	-4.175237198243540e-17	8.501545310386690e-17	1.034670308826821e+01	3.490939384933941e+01	3.525232563094136e+01	-2.133201689055824e-01	-1.058120434798179e-01	-1.710958786440835e-01	4.756767410574665e-01
1.648071428571429e+00	7.656138476663067e+02	1.477413324497516e+00	-5.189922296918535e-17	-4.051474715989331e-18	3.819743196118992e+02	3.954030566726896e+02	6.141827558685177e+02	-3.701417567688717e+00	-8.638826592737957e-01	1.050358274193953e+00	3.062455390665217e+00
2.746785714285715e+00	2.132676566982640e+03	2.291091168514944e+00	-8.598109551072016e-17	2.391393585521046e-17	2.224118206867881e+03	1.785446675884371e+03	3.335444366154334e+03	-3.147670669498099e+01	-2.748527954538289e+00	1.524687805854604e+01	8.530706267930556e+00
3.845500000000002e+00	4.334806817298093e+03	3.080748205943050e+00	-3.935518764356177e-16	2.521122344843249e-18	7.126575982636951e+03	5.495821948849165e+03	1.087068084763338e+04	-8.632182786028821e+01	-5.799072167619234e+00	3.597153786107133e+01	1.733922726919238e+01
4.944214285714288e+00	7.440325690617403e+03	3.858540646913429e+00	-7.750739360612928e-17	6.900315967746650e-19	1.785066565370699e+04	1.346851562849124e+04	2.774976784027244e+04	-1.688876681331401e+02	-1.024317314807833e+01	7.334772674434574e+01	2.976130276246960e+01
6.042928571428574e+00	1.171420976220961e+04	4.655506122713694e+00	-3.501785839996166e-08	-2.386527795721309e-10	4.258855327498231e+04	2.882834764998803e+04	6.518299378246057e+04	-2.904052054116366e+02	-1.633860931077812e+01	1.252387425062404e+02	4.685683904883831e+01
7.141642857142861e+00	1.744123260139115e+04	5.471856789252503e+00	-2.351935430564747e-08	-1.602885115764962e-10	9.910835092576165e+04	5.585713200648806e+04	1.451040039410388e+05	-4.635104155379233e+02	-2.466277677229291e+01	1.979578433461646e+02	6.976493040556430e+01
8.240357142857146e+00	2.458827721046807e+04	6.276573417346871e+00	-1.668301253833627e-08	-1.136976657394335e-10	2.043828850006709e+05	9.879510605056105e+04	2.887486358092364e+05	-6.932231135807375e+02	-3.504574584520237e+01	2.875829532065773e+02	9.835310884187182e+01
9.339071428571433e+00	3.307995253707911e+04	7.062721425587218e+00	-1.240045771985224e-08	-8.451130630610738e-11	3.790270109237727e+05	1.628105985601236e+05	5.220448138582019e+05	-9.764370279454054e+02	-4.740868397751255e+01	3.994067310703616e+02	1.323198101483157e+02
1.043778571428572e+01	4.275582429293595e+04	7.826516528716910e+00	-9.594164359816285e-09	-6.538594450710447e-11	6.452889651805469e+05	2.534307415383864e+05	8.731042926584807e+05	-1.304905922565760e+03	-6.150109103373357e+01	5.263433011007589e+02	1.710232971717428e+02
