1.6133;1.6154;1.6216;1.632;1.6468;1.6662;1.6905;1.7197;1.7541;1.7935;1.8386;1.8894;1.946;2.0086;2.0773;2.1523;2.2335;2.3208;2.414;2.5127
1.5328;1.5348;1.5408;1.5508;1.5651;1.5837;1.6068;1.6347;1.6673;1.7049;1.7474;1.7955;1.8493;1.9089;1.9745;2.0462;2.1241;2.208;2.298;2.3935
1.4553;1.4573;1.463;1.4726;1.4863;1.5041;1.5264;1.553;1.584;1.6196;1.66;1.7056;1.7564;1.813;1.8754;1.9438;2.0182;2.0988;2.1853;2.2776
1.3807;1.3825;1.3881;1.3973;1.4104;1.4275;1.4488;1.4742;1.5039;1.5378;1.5761;1.6192;1.6674;1.7209;1.7802;1.8452;1.9162;1.9932;2.0762;2.165
1.309;1.3107;1.3159;1.3248;1.3373;1.3537;1.3741;1.3984;1.4267;1.459;1.4955;1.5364;1.5822;1.6327;1.6887;1.7504;1.8179;1.8913;1.9707;2.0559
1.2399;1.2416;1.2466;1.2551;1.2671;1.2828;1.3023;1.3254;1.3524;1.3832;1.418;1.457;1.5002;1.5483;1.6012;1.6594;1.7235;1.7933;1.869;1.9505
1.1736;1.1753;1.1801;1.1882;1.1997;1.2146;1.2331;1.2552;1.2808;1.3102;1.3435;1.3805;1.4218;1.4673;1.5174;1.5724;1.6329;1.699;1.771;1.8488
1.11;1.1115;1.1161;1.1239;1.1349;1.1491;1.1667;1.1876;1.212;1.24;1.2717;1.307;1.3462;1.3896;1.437;1.4891;1.5461;1.6086;1.6769;1.7507
1.0491;1.0506;1.055;1.0623;1.0727;1.0862;1.1029;1.1228;1.146;1.1725;1.2026;1.2362;1.2737;1.3149;1.36;1.4093;1.4633;1.5221;1.5866;1.6566
0.99104;0.99242;0.99659;1.0036;1.0135;1.0263;1.042;1.0608;1.0827;1.1078;1.1364;1.1683;1.2039;1.2431;1.286;1.3329;1.3839;1.4396;1.5002;1.5664
0.93535;0.93664;0.9406;0.94726;0.95665;0.96882;0.98377;1.0016;1.0224;1.0461;1.073;1.1032;1.1368;1.1741;1.2149;1.2595;1.308;1.3605;1.4177;1.48
0.88188;0.88314;0.8869;0.89323;0.90216;0.91369;0.92789;0.94481;0.96449;0.98707;1.0126;1.0411;1.0729;1.1079;1.1467;1.189;1.235;1.2849;1.3389;1.3976
0.83147;0.83263;0.83612;0.84197;0.85021;0.86089;0.87432;0.89036;0.90902;0.93042;0.95462;0.98177;1.0119;1.045;1.0815;1.1214;1.1651;1.2124;1.2636;1.3189
0.78418;0.78521;0.78832;0.79371;0.80154;0.81164;0.82408;0.8389;0.85612;0.87618;0.89908;0.92476;0.95335;0.98483;1.0193;1.0571;1.0981;1.1429;1.1915;1.2438
0.74033;0.7413;0.74423;0.74914;0.75604;0.765;0.77622;0.79028;0.80663;0.82534;0.84649;0.87024;0.89728;0.92711;0.95984;0.99557;1.0344;1.0766;1.1223;1.1719
0.69841;0.69934;0.70211;0.70676;0.71325;0.72168;0.73207;0.74447;0.75919;0.77692;0.79696;0.81939;0.84436;0.87184;0.90284;0.93669;0.97349;1.0134;1.0566;1.1032
0.65831;0.65919;0.66181;0.66617;0.67232;0.68027;0.69009;0.70176;0.71539;0.73105;0.74951;0.77077;0.79437;0.82041;0.849;0.88031;0.91516;0.95293;0.99379;1.0379
0.62022;0.62103;0.62348;0.62757;0.63333;0.64078;0.64998;0.66094;0.67381;0.68854;0.70525;0.72418;0.74653;0.77119;0.79823;0.82771;0.85987;0.89507;0.9337;0.97538
0.58389;0.58466;0.58696;0.5908;0.59621;0.60321;0.61183;0.62212;0.63416;0.64801;0.66368;0.68135;0.701;0.72407;0.74964;0.77757;0.80794;0.84088;0.87644;0.91562
0.54924;0.54996;0.55212;0.55573;0.56081;0.56739;0.57545;0.58516;0.59644;0.6094;0.62415;0.6407;0.65916;0.6796;0.70318;0.72956;0.75827;0.7894;0.82305;0.85928
0.51624;0.51691;0.51893;0.52232;0.52707;0.53325;0.54084;0.5499;0.56052;0.57265;0.58649;0.60201;0.61933;0.63851;0.65966;0.68366;0.71079;0.74019;0.77197;0.80622
0.48484;0.48547;0.48736;0.49053;0.49497;0.50075;0.50786;0.51635;0.52629;0.53768;0.55064;0.56516;0.58139;0.59941;0.61923;0.64098;0.66544;0.69318;0.72316;0.7555
0.455;0.45559;0.45735;0.46031;0.46447;0.46986;0.4765;0.48444;0.49372;0.50442;0.51653;0.53013;0.54533;0.56218;0.58076;0.60116;0.62343;0.6484;0.67658;0.70706
0.4219;0.42245;0.42409;0.42683;0.4307;0.4357;0.44186;0.44924;0.45786;0.46775;0.47899;0.49165;0.50575;0.52137;0.53859;0.55755;0.57822;0.60135;0.62751;0.65572
0.39121;0.39173;0.39326;0.3958;0.39939;0.40403;0.40975;0.4166;0.42457;0.43378;0.44422;0.45593;0.46902;0.48352;0.49953;0.51709;0.53625;0.55775;0.58202;0.6082
0.36279;0.36326;0.36468;0.36704;0.37037;0.37467;0.37999;0.38632;0.39375;0.40228;0.41196;0.42283;0.43498;0.44843;0.46328;0.47955;0.49736;0.5173;0.53983;0.56411
0.33643;0.33687;0.33818;0.34037;0.34346;0.34746;0.35238;0.35827;0.36515;0.37307;0.38205;0.39214;0.40341;0.4159;0.42968;0.44477;0.46128;0.4798;0.5007;0.52323
0.31204;0.31244;0.31365;0.31568;0.31854;0.32225;0.32681;0.33226;0.33864;0.34598;0.35431;0.36368;0.37414;0.38574;0.39851;0.41251;0.42785;0.44501;0.46441;0.48532
0.28942;0.28979;0.29092;0.2928;0.29546;0.2989;0.30314;0.3082;0.31411;0.32091;0.32863;0.33731;0.347;0.35777;0.36962;0.38261;0.39684;0.41275;0.43076;0.45017
1.4133;1.4149;1.4196;1.4276;1.4392;1.4545;1.4737;1.4971;1.5248;1.5571;1.5939;1.6347;1.6799;1.7294;1.7831;1.8415;1.9046;1.973;2.047;2.1267
1.3418;1.3434;1.3479;1.3557;1.367;1.3818;1.4004;1.4231;1.4501;1.4814;1.5168;1.5563;1.6001;1.6478;1.6996;1.7556;1.8162;1.8815;1.9521;2.0285
1.2733;1.2747;1.2791;1.2867;1.2975;1.3118;1.3298;1.3518;1.378;1.408;1.4422;1.4803;1.5225;1.5686;1.6186;1.6726;1.7306;1.7932;1.8607;1.9334
1.2075;1.209;1.2132;1.2205;1.2309;1.2447;1.2621;1.2833;1.3084;1.3373;1.3701;1.4068;1.4473;1.4918;1.54;1.592;1.6479;1.7079;1.7724;1.8418
