WARNING: 1 open meshes merged
     Merged: Wing
...Mass Properties...
1 Num Comps
1 Total Num Meshes
2040 Total Num Tris

7.770293795617494e+04             Total Mass
1.003594905185832e+01 -2.856787309976802e-17 -2.407059467819788e-02       Center of Gravity
1.799683180408568e+06 1.347594641229614e+06 3.075321166036843e+06       Ixx, Iyy, Izz
-2.190635614042878e+03 -4.074409848083266e+04 1.279855752726725e+03       Ixy, Ixz, Iyz
3.059170785676179e+02             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Wing	7.770293795617459e+04	1.003594905185867e+01	3.121065765329246e-15	-2.407059467819778e-02	1.799683180408570e+06	1.347594641229616e+06	3.075321166036851e+06	-2.190635614042891e+03	-4.074409848083266e+04	1.279855752726751e+03	3.059170785676143e+02
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	7.770293795617494e+04	1.003594905185832e+01	-2.856787309976802e-17	-2.407059467819788e-02	1.799683180408568e+06	1.347594641229614e+06	3.075321166036843e+06	-2.190635614042878e+03	-4.074409848083266e+04	1.279855752726725e+03	3.059170785676179e+02

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
20 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
5.573525807467113e-01	2.377042725985895e+02	5.573525807467113e-01	-8.802203181610804e-17	2.084115041451526e-01	4.496120564611525e+01	9.459250979397913e+01	7.343687369119566e+01	-4.766350527501930e-01	-3.115307006748300e-01	-4.310073397830627e-01	9.358435929078323e-01
1.672057742240134e+00	1.370929738665665e+03	1.478780018297412e+00	-1.354295709703931e-16	2.207607227562668e-01	9.520753752841567e+02	1.031780788148036e+03	1.118376537285158e+03	-6.765394232186972e+00	1.198113521120713e+00	-7.668931321549138e-02	5.397361175849071e+00
2.786762903733557e+00	3.636903514360380e+03	2.293719129481685e+00	1.597513052031126e-16	2.111773507557366e-01	4.828214799934303e+03	4.237039443281699e+03	5.885055065420619e+03	-4.280743685071097e+01	-2.034964473454914e+01	3.685794509800354e+01	1.431851777307236e+01
3.901468065226979e+00	7.117213213626016e+03	3.079906650792099e+00	-1.413720121185816e-16	1.880097091914538e-01	1.383237068106857e+04	1.188690823504917e+04	1.823526050302422e+04	-1.330235408436675e+02	-1.623754647799795e+02	9.089608424973882e+01	2.802052446309455e+01
5.016173226720402e+00	1.178257502211634e+04	3.846579820064208e+00	1.622397799073597e-16	1.569280106522477e-01	3.128472296454413e+04	2.681190390928749e+04	4.430881824726381e+04	-2.583503602170277e+02	-5.999489825760468e+02	1.646061633687448e+02	4.638809063825333e+01
