Results_Name,VSPAERO_Wrapper
Results_Timestamp,1711417842
Results_Date,3,26,2024
Results_Time,2,50,42
Analysis_Duration_Sec,1.333600000000000030e+01
ResultsVec,VSPAERO_History,VSPAERO_History,VSPAERO_History,VSPAERO_History,VSPAERO_History,VSPAERO_History,VSPAERO_History,VSPAERO_Load,VSPAERO_Comp_Load,VSPAERO_Load,VSPAERO_Comp_Load,VSPAERO_Load,VSPAERO_Comp_Load,VSPAERO_Load,VSPAERO_Comp_Load,VSPAERO_Load,VSPAERO_Comp_Load,VSPAERO_Load,VSPAERO_Comp_Load,VSPAERO_Load,VSPAERO_Comp_Load,VSPAERO_Stab,CpSlice_Wrapper
Results_Name,VSPAERO_History
Results_Timestamp,1711417841
Results_Date,3,26,2024
Results_Time,2,50,41
Alpha,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
AnalysisMethod,0
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,7.314964765999999730e-03,7.309995863000000142e-03,7.344703739000000252e-03,7.371502151999999655e-03,7.398172956000000251e-03
CDo,5.723565834000000040e-03,5.726389491000000338e-03,5.729257643999999781e-03,5.731193713000000065e-03,5.732862013000000409e-03
CDt,6.860141430999999734e-03,6.590088879000000413e-03,6.440209171000000309e-03,6.417716094999999579e-03,6.637288409999999965e-03
CDtot,1.303853060000000064e-02,1.303638535400000048e-02,1.307396138300000003e-02,1.310269586499999972e-02,1.313103496899999979e-02
CDtott,1.258370726400000021e-02,1.231647836899999945e-02,1.216946681500000009e-02,1.214890980699999921e-02,1.237015042299999951e-02
CFx,-8.797216566000000404e-03,-8.804878161000000147e-03,-8.818775307999999688e-03,-8.824245119999999179e-03,-8.825647743999999462e-03
CFxi,-1.452114019500000061e-02,-1.453156112100000008e-02,-1.454833068499999937e-02,-1.455574271799999972e-02,-1.455883931500000054e-02
CFxo,5.723923629000000207e-03,5.726682959999999933e-03,5.729555376999999686e-03,5.731497597999999673e-03,5.733191571000000215e-03
CFy,1.661192309999999983e-04,1.071741199999999957e-05,5.890744999999999959e-06,5.090797999999999976e-06,4.255613000000000111e-06
CFyi,1.665026099999999877e-04,1.073910399999999949e-05,5.899028999999999929e-06,5.096702000000000318e-06,4.259061000000000421e-06
CFyo,-3.833790000000000080e-07,-2.169199999999999995e-08,-8.284999999999999411e-09,-5.904000000000000292e-09,-3.447000000000000194e-09
CFz,3.127210482009999959e-01,3.127998607679999821e-01,3.135372736540000260e-01,3.140274212840000190e-01,3.144537374360000248e-01
CFzi,3.125262935870000147e-01,3.126040876419999837e-01,3.133414613519999725e-01,3.138316293449999739e-01,3.142582543849999910e-01
CFzo,1.947546129999999892e-04,1.957731260000000089e-04,1.958123020000000010e-04,1.957919389999999982e-04,1.954830509999999980e-04
CL,3.125729382510000209e-01,3.126520932810000208e-01,3.133886792819999823e-01,3.138780144919999793e-01,3.143033900009999937e-01
CLi,3.127779387790000087e-01,3.128562702580000021e-01,3.135930175489999860e-01,3.140825085539999950e-01,3.145083103649999878e-01
CLo,-2.050005270000000040e-04,-2.041769770000000041e-04,-2.043382660000000019e-04,-2.044940619999999936e-04,-2.049203629999999960e-04
CMx,5.613317170000000451e-04,5.167117199999999758e-05,1.923605500000000060e-05,1.860055599999999905e-05,1.271954899999999981e-05
CMxi,5.622045349999999896e-04,5.173834599999999810e-05,1.924650599999999919e-05,1.860862000000000142e-05,1.272372100000000062e-05
CMxo,-8.728180000000000008e-07,-6.717400000000000316e-08,-1.044999999999999928e-08,-8.064000000000000277e-09,-4.170999999999999762e-09
CMy,-1.075363095260000040e-01,-1.079686277160000069e-01,-1.084631109279999978e-01,-1.087913644410000019e-01,-1.090021670219999961e-01
CMyi,-1.072849092000000004e-01,-1.077170667009999944e-01,-1.082114518830000066e-01,-1.085396603419999939e-01,-1.087505066790000058e-01
CMyo,-2.514003259999999834e-04,-2.515610150000000206e-04,-2.516590449999999801e-04,-2.517040989999999850e-04,-2.516603429999999977e-04
CMz,2.489204799999999949e-05,1.678943000000000054e-06,1.228124999999999994e-06,1.197857999999999899e-06,9.974170000000000169e-07
CMzi,2.823670000000000021e-05,1.978139000000000188e-06,1.340115999999999901e-06,1.303939999999999962e-06,1.069509999999999947e-06
CMzo,-3.344651999999999872e-06,-2.991959999999999747e-07,-1.119910000000000001e-07,-1.060819999999999966e-07,-7.209299999999999579e-08
CS,1.661192309999999983e-04,1.071741199999999957e-05,5.890744999999999959e-06,5.090797999999999976e-06,4.255613000000000111e-06
CSi,1.665026099999999877e-04,1.073910399999999949e-05,5.899028999999999929e-06,5.096702000000000318e-06,4.259061000000000421e-06
CSo,-3.833790000000000080e-07,-2.169199999999999995e-08,-8.284999999999999411e-09,-5.904000000000000292e-09,-3.447000000000000194e-09
E,9.068768410230000354e-01,9.079478807690000153e-01,9.079183823719999546e-01,9.074439900220000466e-01,9.066258428179999607e-01
FC_AoA_,4.000000000000000000e+00
FC_Beta_,0.000000000000000000e+00
FC_Bref_,3.600000000000000000e+01
FC_Cref_,9.685829999999999274e+00
FC_Mach_,8.000000000000000444e-01
FC_Pitch_Rate,0.000000000000000000e+00
FC_ReCref_,9.076799217453446984e+07
FC_Rho_,3.639089999999999825e-01
FC_Roll__Rate,0.000000000000000000e+00
FC_Sref_,2.760851880000000165e+02
FC_Vinf_,2.360544150000000059e+02
FC_Xcg_,1.003589999999999982e+01
FC_Yaw___Rate,0.000000000000000000e+00
