,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],slope_angle [rad],acceleration [m/s**2],name
623,6201.854010673445,10972.8,1259857.5165638977,84404.41663996756,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.27053014116063606,0.01235508041581962,37802.08597386056,37802.08597386056,0.6907938784587179,True,1.669078344581372e-05,0.0,0.0,sizing:main_route:cruise
624,6261.854010673445,10972.8,1273672.4541338794,84366.55985412018,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.2704088038891178,0.012349922675014818,37786.305148906606,37786.305148906606,0.6905055002649125,True,1.6691137014256023e-05,0.0,0.0,sizing:main_route:cruise
625,6321.854010673445,10972.8,1287487.391703861,84328.71807033,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.2702875147016788,0.012344769741808561,37770.539033468696,37770.539033468696,0.6902173908722427,True,1.6691491675821977e-05,0.0,0.0,sizing:main_route:cruise
626,6381.854010673445,10972.8,1301302.3292738427,84290.8912720579,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.2701662735453083,0.012339621610664266,37754.78761060688,37754.78761060688,0.6899295499711484,True,1.669184742691476e-05,0.0,0.0,sizing:main_route:cruise
627,6441.854010673445,10972.8,1315117.2668438244,84253.07944279199,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.270045080367083,0.012334478276055195,37739.05086341133,37739.05086341133,0.6896419772526202,True,1.6692204263946688e-05,0.0,0.0,sizing:main_route:cruise
628,6501.854010673445,10972.8,1328932.204413806,84215.28256604762,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.26992393511416696,0.012329339732464435,37723.32877500229,37723.32877500229,0.6893546724081981,True,1.6692562183339163e-05,0.0,0.0,sizing:main_route:cruise
629,6561.854010673445,10972.8,1342747.1419837878,84177.50062536726,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.2698028377338109,0.01232420597438484,37707.62132852987,37707.62132852987,0.6890676351299679,True,1.669292118152268e-05,0.0,0.0,sizing:main_route:cruise
630,6621.854010673445,10972.8,1356562.0795537694,84139.73360432047,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.2696817881733526,0.012319076996319046,37691.92850717414,37691.92850717414,0.6887808651105626,True,1.669328125493678e-05,0.0,0.0,sizing:main_route:cruise
631,6681.854010673445,10972.8,1370377.017123751,84101.98148650379,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.2695607863802163,0.012313952792779435,37676.25029414496,37676.25029414496,0.6884943620431598,True,1.6693642400030033e-05,0.0,0.0,sizing:main_route:cruise
632,6741.854010673445,10972.8,1384191.9546937328,84064.24425554072,230.24895949969348,125.7144981663258,0.7800000006668251,3,0.2694398323019126,0.012308833358288111,37660.58667268193,37660.58667268193,0.688208125621481,True,1.669400461326e-05,0.0,0.0,sizing:main_route:cruise
