,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],lift [N],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],slope_angle [rad],acceleration [m/s**2],alpha [rad],slope_angle_derivative [rad/s],name
21,582.5499999999804,34.68434702429922,156.8544186287079,88119.24364071079,79.39151797950414,79.2593976814894,0.23339318094139178,1,0.7915456514175542,0.05692598088865877,,62147.83323587722,193223.67026062837,1.0,False,1.2446233351342705e-05,0.15168100703265777,0.0,0.0,,sizing:main_route:initial_climb
22,582.7499999999804,37.08355951833518,172.55041507659425,88118.76265933298,79.40066907565219,79.2593976814894,0.23342640473529425,1,0.7915413309229349,0.056925387070707746,,62147.184946670466,193182.8538309428,1.0,False,1.244678357110673e-05,0.15163535211708723,0.0,0.0,,sizing:main_route:initial_climb
23,582.9499999999805,39.48233187409912,188.2483302621109,88118.28175829872,79.40982004317684,79.2593976814894,0.2334596289619364,1,0.7915370111500143,0.056924793356132944,,62146.536770322746,193142.05126011174,1.0,False,1.2447333672845232e-05,0.15158971247194453,0.0,0.0,,sizing:main_route:initial_climb
24,583.1499999999805,41.880664157250195,203.94816411572816,88117.80093758706,79.4189708818218,79.2593976814894,0.23349285362027059,1,0.7915326920986053,0.05692419974490657,,62145.88870680362,193101.26254055495,1.0,False,1.244788365658417e-05,0.15154408808890377,0.0,0.0,,sizing:main_route:initial_climb
25,583.3499999999806,44.27855643340026,219.64991656789377,88117.32019717705,79.4281215913308,79.2593976814894,0.23352607870924885,1,0.7915283737685188,0.05692360623700049,,62145.24075608243,193060.4876646995,1.0,False,1.2448433522349487e-05,0.15149847895964744,0.0,0.0,,sizing:main_route:initial_climb
26,583.5499999999806,46.6760087681139,235.3535875490328,88116.83953704775,79.43727217144735,79.2593976814894,0.2335593042278226,1,0.7915240561595672,0.05692301283238689,,62144.592918128794,193019.72662497938,1.0,False,1.2448983270167114e-05,0.15145288507586543,0.0,0.0,,sizing:main_route:initial_climb
27,583.7499999999807,49.0730212269085,251.0591769895476,88116.35895717824,79.44642262191479,79.2593976814894,0.2335925301749424,1,0.7915197392715625,0.05692241953103778,,62143.94519291215,192978.97941383615,1.0,False,1.2449532900062959e-05,0.1514073064292563,0.0,0.0,,sizing:main_route:initial_climb
28,583.9499999999807,51.46959387525432,266.7666848198178,88115.87845754759,79.4555729424764,79.2593976814894,0.23362575654955853,1,0.7915154231043161,0.05692182633292517,,62143.29758040199,192938.2460237187,1.0,False,1.2450082412062922e-05,0.15136174301152658,0.0,0.0,,sizing:main_route:initial_climb
29,584.1499999999808,53.865726778574555,282.4761109702001,88115.3980381349,79.46472313287525,79.2593976814894,0.23365898335062063,1,0.7915111076576409,0.05692123323802124,,62142.65008056789,192897.5264470827,1.0,False,1.2450631806192883e-05,0.15131619481439035,0.0,0.0,,sizing:main_route:initial_climb
30,584.3499999999808,56.261420002245394,298.1874553710285,88114.91769891928,79.4738731928543,79.2593976814894,0.23369221057707754,1,0.7915067929313494,0.05692064024629817,,62142.00269337946,192856.82067639154,1.0,False,1.2451181082478702e-05,0.1512706618295702,0.0,0.0,,sizing:main_route:initial_climb
31,584.5499999999809,58.656673611596084,313.90071795261383,88114.43743987982,79.48302312215637,79.2593976814894,0.2337254382278779,1,0.7915024789252538,0.05692004735772803,,62141.35541880622,192816.1287041154,1.0,False,1.2451730240946238e-05,0.15122514404879636,0.0,0.0,,sizing:main_route:initial_climb
32,584.7499999999809,61.05148767190899,329.6158986452441,88113.95726099568,79.49217292052415,79.2593976814894,0.2337586663019694,1,0.7914981656391662,0.056919454572282875,,62140.70825681771,192775.4505227319,1.0,False,1.2452279281621318e-05,0.15117964146380736,0.0,0.0,,sizing:main_route:initial_climb
33,584.949999999981,63.44586224841967,345.33299737918423,88113.47716224597,79.5013225877002,79.2593976814894,0.23379189479829934,1,0.791493853072899,0.05691886188993489,,62140.061207383544,192734.78612472577,1.0,False,1.2452828204529766e-05,0.1511341540663495,0.0,0.0,,sizing:main_route:initial_climb
34,585.149999999981,65.83979740631693,361.052014084676,88112.99714360984,79.51047212342691,79.2593976814894,0.2338251237158145,1,0.791489541226266,0.056918269310656376,,62139.414270473426,192694.13550258894,1.0,False,1.2453377009697381e-05,0.151088681848177,0.0,0.0,,sizing:main_route:initial_climb
35,585.349999999981,68.2332932107429,376.772948691938,88112.51720506646,79.51962152744652,79.2593976814894,0.2338583530534608,1,0.7914852300990793,0.05691767683441942,,62138.767446056925,192653.49864882056,1.0,False,1.245392569714995e-05,0.15104322480105226,0.0,0.0,,sizing:main_route:initial_climb
36,585.5499999999811,70.62634972679305,392.4958011311656,88112.03734659497,79.52877079950119,79.2593976814894,0.2338915828101839,1,0.7914809196911512,0.05691708446119614,,62138.12073410362,192612.875555927,1.0,False,1.2454474266913248e-05,0.15099778291674576,0.0,0.0,,sizing:main_route:initial_climb
37,585.7499999999811,73.01896701951634,408.22057133253094,88111.55756817455,79.53791993933295,79.2593976814894,0.23392481298492887,1,0.7914766100022946,0.056916492190958734,,62137.4741345832,192572.2662164215,1.0,False,1.2455022719013025e-05,0.15095235618703542,0.0,0.0,,sizing:main_route:initial_climb
